RSA,RSA_Name,Community_Discharge,CMS_region,CMS_office
C0125,"VA, Danville [Suburban]",0.594158758,III,Philadelphia
C0126,"VA, Giles County [Urban core]",0.560804392,III,Philadelphia
C0127,"VA, Danville [Small town/rural]",0.53659179,III,Philadelphia
C0128,"VA, Scott County [Urban core]",0.582059556,III,Philadelphia
C0129,"VA, Washington County [Urban core]",0.577754697,III,Philadelphia
C0130,"VA, Floyd County [Large rural]",0.590011814,III,Philadelphia
C0131,"VA, Smyth County [Large rural]",0.548560122,III,Philadelphia
C0132,"WV-VA, Bluefield [Suburban]",0.564301257,III,Philadelphia
C0133,"VA, Giles County [Large rural]",0.567463946,III,Philadelphia
C0134,"VA, Botetourt County [Large rural]",0.561117446,III,Philadelphia
C0135,"VA, Craig County [Large rural]",0.518554321,III,Philadelphia
C0136,"WV-VA, Bluefield [Large rural]",0.595322185,III,Philadelphia
C0137,"WV, Raleigh County [Urban core]",0.58882651,III,Philadelphia
C0138,"WV, Beckley [Large rural]",0.553149324,III,Philadelphia
C0139,"WV, Elkins [Small town/rural]",0.566039665,III,Philadelphia
C0140,"WV, Summers County [Urban core]",0.556961513,III,Philadelphia
C0141,"WV, Kanawha County [Urban core]",0.505784275,III,Philadelphia
C0142,"WV, Cabell County [Urban core]",0.533227526,III,Philadelphia
C0143,"WV, Boone County [Urban core]",0.577117332,III,Philadelphia
C0144,"WV-OH-KY, Charleston-Huntington-Ashland [Urban core] [Central]",0.53053244,III,Philadelphia
C0145,"WV-KY-OH, Huntington-Ashland [Suburban]",0.550541898,III,Philadelphia
C0146,"WV, Parkersburg-Vienna [Large rural]",0.564988961,III,Philadelphia
C0147,"WV, Jackson County [Urban core]",0.545611505,III,Philadelphia
C0148,"VA-WV, Arlington-Alexandria-Reston [Urban core] [Central]",0.577563535,III,Philadelphia
C0149,"DC-MD-VA-WV-PA, Washington-Baltimore-Arlington [Urban core] [Outlying]",0.566589203,III,Philadelphia
C0150,"WV, Wayne County [Urban core]",0.5659205,III,Philadelphia
C0151,"WV, Marshall County [Urban core]",0.537158383,III,Philadelphia
C0152,"WV, Brooke County [Urban core]",0.523821476,III,Philadelphia
C0153,"WV, Parkersburg-Vienna [Urban core]",0.54245084,III,Philadelphia
C0154,"WV, Fairmont-Clarksburg [Large rural]",0.561428544,III,Philadelphia
C0155,"WV-OH-KY, Charleston-Huntington-Ashland [Large rural]",0.537607602,III,Philadelphia
C0156,"WV, Elkins [Suburban]",0.543367283,III,Philadelphia
C0157,"WV, Fairmont-Clarksburg [Suburban]",0.48505863,III,Philadelphia
C0158,"WV, Preston County [Urban core]",0.514754501,III,Philadelphia
C0159,"WV, Monongalia County [Urban core]",0.57241305,III,Philadelphia
C0160,"WV, Charleston [Small town/rural]",0.538825621,III,Philadelphia
C0161,"VA-WV, Winchester [Large rural]",0.54211139,III,Philadelphia
C0162,"WV, Pendleton County [Urban core]",0.560132707,III,Philadelphia
C0163,"PA, Butler County [Urban core]",0.584355476,III,Philadelphia
C0164,"PA, Westmoreland County [Urban core] [Central] Two",0.553815048,III,Philadelphia
C0165,"PA, Mercer County [Suburban] [Central] Two",0.585812537,III,Philadelphia
C0166,"PA, Somerset [Small town/rural]",0.559961811,III,Philadelphia
C0167,"PA, Jefferson County [Large rural]",0.570551402,III,Philadelphia
C0168,"PA, Johnstown [Large rural]",0.552302783,III,Philadelphia
C0169,"NY-NJ-CT-PA, New York-Newark [Suburban]",0.516962763,III,Philadelphia
C0170,"PA, Philadelphia County [Urban core] [Central] Three",0.572121818,III,Philadelphia
C0171,"VA, Prince William County [Urban core]",0.551393941,III,Philadelphia
C0172,"VA, Nelson County [Urban core]",0.547675282,III,Philadelphia
C0173,"VA, Buchanan County [Small town/rural]",0.592196732,III,Philadelphia
C0174,"WV, Fayette County [Urban core] [Central]",0.534750106,III,Philadelphia
C0175,"WV, Clay County [Urban core]",0.548381221,III,Philadelphia
D0001,"NC, Jacksonville [Urban core]",0.562514862,IV,Atlanta
D0002,"NC, Forsyth County [Urban core]",0.579941177,IV,Atlanta
D0003,"NC, Surry County [Urban core]",0.569139227,IV,Atlanta
D0004,"NC, Greensboro-High Point [Urban core]",0.555464105,IV,Atlanta
D0005,"NC, Wilkes County [Large rural]",0.593734322,IV,Atlanta
D0006,"NC, Rowan County [Urban core]",0.630411438,IV,Atlanta
D0007,"NC, Rockingham County [Suburban]",0.619586459,IV,Atlanta
D0008,"NC, Randolph County [Suburban]",0.565055567,IV,Atlanta
D0009,"NC, Sanford [Suburban]",0.552540609,IV,Atlanta
D0010,"NC, Rockingham [Large rural]",0.576628973,IV,Atlanta
D0011,"NC, Caswell County [Suburban]",0.563671746,IV,Atlanta
D0012,"NC, Burlington [Urban core]",0.539905798,IV,Atlanta
D0013,"NC, Pinehurst-Southern Pines [Suburban]",0.507717303,IV,Atlanta
D0014,"NC, Durham County [Urban core]",0.516497236,IV,Atlanta
D0015,"NC, Person County [Urban core]",0.575669133,IV,Atlanta
D0016,"NC, Anderson Creek [Urban core]",0.546689656,IV,Atlanta
D0017,"NC, Wake County [Urban core] [Central] One",0.555092028,IV,Atlanta
D0018,"NC, Raleigh-Durham-Cary [Large rural]",0.586724925,IV,Atlanta
D0019,"NC, Wake County [Urban core] [Central] Two",0.529212084,IV,Atlanta
D0020,"NC, Raleigh-Cary [Suburban]",0.548160622,IV,Atlanta
D0021,"NC, Goldsboro [Urban core]",0.511015182,IV,Atlanta
D0022,"FL, Lake County [Urban core] [Central]",0.52951845,IV,Atlanta
D0023,"NC, Rocky Mount-Wilson-Roanoke Rapids [Urban core]",0.539976753,IV,Atlanta
D0024,"NC, Rocky Mount-Wilson-Roanoke Rapids [Large rural]",0.553790524,IV,Atlanta
D0025,"NC, Greenville-Washington [Suburban]",0.53042149,IV,Atlanta
D0026,"NC, Wilson [Suburban]",0.56324794,IV,Atlanta
D0027,"NC, Greenville-Washington [Urban core]",0.537225839,IV,Atlanta
D0028,"NC, Roanoke Rapids [Suburban]",0.554775974,IV,Atlanta
D0030,"NC, Greenville-Washington [Large rural]",0.557139926,IV,Atlanta
D0031,"NC, Rocky Mount [Suburban]",0.518382278,IV,Atlanta
D0032,"NC, Elizabeth City [Large rural]",0.564570572,IV,Atlanta
D0033,"NC, Kinston [Suburban]",0.618188775,IV,Atlanta
D0034,"NC, Elizabeth City [Suburban]",0.569547856,IV,Atlanta
D0035,"NC, Kill Devil Hills [Large rural]",0.520192414,IV,Atlanta
D0036,"NC, Currituck County [Urban core]",0.544061887,IV,Atlanta
D0037,"NC, Kill Devil Hills [Suburban]",0.582054169,IV,Atlanta
D0038,"NC, Albemarle [Suburban]",0.567109298,IV,Atlanta
D0039,"NC, Gaston County [Urban core]",0.57050146,IV,Atlanta
D0040,"NC, Anson County [Urban core]",0.591830719,IV,Atlanta
D0041,"NC, Shelby-Kings Mountain [Suburban]",0.564171065,IV,Atlanta
D0042,"NC, Forest City [Suburban]",0.570753525,IV,Atlanta
D0043,"NC, Cabarrus County [Urban core]",0.581580063,IV,Atlanta
D0044,"NC, Mecklenburg County [Urban core] [Central] One",0.55410884,IV,Atlanta
D0045,"NC, Catawba County [Urban core]",0.575849963,IV,Atlanta
D0046,"NC, Mecklenburg County [Urban core] [Central] Two",0.572758731,IV,Atlanta
D0047,"NC, Iredell County [Urban core]",0.548908591,IV,Atlanta
D0048,"NC, Caldwell County [Urban core]",0.549575049,IV,Atlanta
D0049,"NC, Cumberland County [Urban core]",0.562589254,IV,Atlanta
D0050,"NC, Sampson County [Large rural]",0.527867959,IV,Atlanta
D0051,"NC, Bladen County [Large rural]",0.525580835,IV,Atlanta
D0052,"NC, Hoke County [Urban core]",0.554219748,IV,Atlanta
D0053,"NC, Lumberton [Suburban]",0.546612025,IV,Atlanta
D0054,"NC, Laurinburg [Suburban]",0.568494885,IV,Atlanta
D0055,"NC, New Bern-Morehead City [Small town/rural]",0.582680605,IV,Atlanta
D0056,"NC, New Hanover County [Urban core]",0.533818208,IV,Atlanta
D0057,"NC, Brunswick County [Urban core]",0.545858719,IV,Atlanta
D0058,"NC, Columbus County [Large rural]",0.525106512,IV,Atlanta
D0059,"NC, New Bern [Urban core]",0.565663168,IV,Atlanta
D0061,"NC, Morehead City [Suburban]",0.556156481,IV,Atlanta
D0062,"NC, Boone [Small town/rural]",0.588351245,IV,Atlanta
D0063,"NC, Boone [Suburban]",0.521096069,IV,Atlanta
D0064,"NC, North Wilkesboro [Suburban]",0.549070958,IV,Atlanta
D0065,"NC, Ashe County [Large rural]",0.543805406,IV,Atlanta
D0066,"NC, Buncombe County [Urban core]",0.528482371,IV,Atlanta
D0067,"NC, Marion [Small town/rural]",0.552433833,IV,Atlanta
D0068,"NC, Brevard [Urban core]",0.520589709,IV,Atlanta
D0069,"NC, Asheville-Waynesville-Brevard [Suburban]",0.561388571,IV,Atlanta
D0070,"NC, Waynesville [Urban core]",0.515993199,IV,Atlanta
D0071,"NC, Asheville-Waynesville-Brevard [Small town/rural]",0.532458332,IV,Atlanta
D0072,"NC, Asheville, NC-Forest City [Urban core]",0.568916302,IV,Atlanta
D0073,"NC, Henderson County [Urban core]",0.48125129,IV,Atlanta
D0074,"NC, Polk County [Small town/rural]",0.569673118,IV,Atlanta
D0075,"SC, Sumter [Large rural]",0.548758561,IV,Atlanta
D0076,"SC, Bamberg County [Large rural]",0.545099035,IV,Atlanta
D0077,"SC, Lexington County [Urban core]",0.52175026,IV,Atlanta
D0078,"SC, Kershaw County [Urban core]",0.490033516,IV,Atlanta
D0079,"SC, Florence [Urban core]",0.572060965,IV,Atlanta
D0080,"SC, York County [Urban core]",0.585346102,IV,Atlanta
D0081,"SC, Richland County [Urban core]",0.542097344,IV,Atlanta
D0082,"SC, Orangeburg [Suburban]",0.531815911,IV,Atlanta
D0083,"SC, Spartanburg [Suburban]",0.498506082,IV,Atlanta
D0084,"SC, Greenwood [Suburban]",0.547869874,IV,Atlanta
D0085,"SC, Sumter [Urban core]",0.550263593,IV,Atlanta
D0086,"SC, Myrtle Beach-Conway [Suburban]",0.522664268,IV,Atlanta
D0087,"SC, Lancaster County [Urban core]",0.520670898,IV,Atlanta
D0088,"SC, Newberry [Suburban]",0.51829616,IV,Atlanta
D0089,"SC, Florence [Suburban]",0.507977955,IV,Atlanta
D0090,"SC, Aiken County [Urban core]",0.591641799,IV,Atlanta
D0091,"SC, Spartanburg [Urban core]",0.547240769,IV,Atlanta
D0092,"SC, Gaffney [Suburban]",0.507885754,IV,Atlanta
D0093,"SC, Charleston County [Urban core]",0.530442862,IV,Atlanta
D0094,"SC, Berkeley County [Urban core]",0.560602913,IV,Atlanta
D0095,"SC, Jasper County [Urban core]",0.573212615,IV,Atlanta
